customer_id,Last_Order_Date,Frequency,Monetary,Total_Profit,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,customer_name,gender,age,city,region_id,signup_date,customer_segment
CUST-00016,2025-01-28,1,2437.0,815.63,570,2,1,2,212,Hibernating,Ayaan Choudhury,Male,27,Lucknow,REG-02,2020-10-18,Consumer
CUST-00017,2024-07-21,1,2219.55,645.59,761,2,1,2,212,Hibernating,Vikram Malhotra,Male,22,Indore,REG-05,2021-10-12,Consumer
CUST-00018,2022-07-23,1,2618.0,1221.94,1490,1,1,3,113,At Risk,Karan Das,Male,37,Ahmedabad,REG-01,2021-08-29,Consumer
CUST-00019,2025-10-20,1,1523.2,645.4100000000001,305,3,1,1,311,Hibernating,Advaith Malhotra,Male,24,Bilaspur,REG-05,2025-07-02,Small Business
CUST-00020,2025-10-05,2,2661.65,879.75,320,3,4,3,343,Loyal Customers,Pranav Aggarwal,Male,18,Ujjain,REG-05,2024-01-16,Consumer
CUST-00021,2025-12-10,2,2386.05,1026.99,254,3,4,2,342,Hibernating,Angel Menon,Female,50,Nagpur,REG-01,2024-02-23,Small Business
CUST-00022,2026-07-04,1,1168.55,411.97,48,5,1,1,511,New Customers,Gaurav Nair,Male,31,Pune,REG-01,2025-12-06,Small Business
CUST-00023,2026-05-06,5,8851.05,3366.61,107,4,5,5,455,Champions,Advik Kumar,Male,34,Chennai,REG-03,2022-01-11,Consumer
CUST-00024,2025-05-07,1,1056.0,484.38,471,2,1,1,211,Hibernating,Vikram Kapoor,Male,18,Nashik,REG-01,2023-04-27,Consumer
CUST-00025,2022-01-15,1,1520.65,434.42,1679,1,1,1,111,Lost Customers,Rahul Choudhury,Male,28,Nashik,REG-01,2020-08-16,Corporate
CUST-00026,2026-02-12,2,5031.25,1358.63,190,4,4,4,444,Champions,Amit Sharma,Male,35,Bilaspur,REG-05,2024-10-17,Consumer
CUST-00027,2025-12-18,1,2159.0,630.03,246,3,1,2,312,Hibernating,Sunita Bose,Female,21,Visakhapatnam,REG-03,2025-10-11,Consumer
CUST-00028,2024-05-06,1,1710.65,563.16,837,1,1,1,111,Lost Customers,Tanvi Saxena,Female,38,Cuttack,REG-04,2022-12-13,Consumer
CUST-00029,2024-12-13,1,3752.2,1258.97,616,2,1,4,214,At Risk,Simran Menon,Female,27,Mysore,REG-03,2024-02-26,Consumer
CUST-00030,2022-01-25,1,666.65,138.57,1669,1,1,1,111,Lost Customers,Amit Kapoor,Male,30,Panaji,REG-01,2021-04-26,Corporate
CUST-00031,2026-08-12,1,663.3,183.68,9,5,1,1,511,New Customers,Diya Kapoor,Female,27,Mumbai,REG-01,2024-09-21,Consumer
CUST-00032,2026-07-31,2,6069.6,2266.64,21,5,4,5,545,Champions,Advik Trivedi,Male,54,Panaji,REG-01,2025-11-14,Consumer
CUST-00033,2023-04-09,1,1507.0,698.5899999999999,1230,1,1,1,111,Lost Customers,Meera Gupta,Female,33,Surat,REG-01,2020-09-12,Consumer
CUST-00034,2026-05-26,1,4239.1,1640.73,87,4,1,4,414,Potential Loyalists,Riya Bose,Female,22,Vadodara,REG-01,2026-01-07,Consumer
CUST-00035,2025-12-01,1,1640.0,693.3199999999999,263,3,1,1,311,Hibernating,Avani Sharma,Female,43,Mumbai,REG-01,2024-03-15,Corporate
CUST-00036,2026-07-26,2,3046.6,870.57,26,5,4,3,543,Loyal Customers,Vihaan Gupta,Male,20,Howrah,REG-04,2026-04-13,Consumer
CUST-00037,2024-04-28,1,1733.2,791.53,845,1,1,1,111,Lost Customers,Preeti Rao,Female,36,Surat,REG-01,2021-03-23,Consumer
CUST-00038,2024-07-21,1,2911.0,1304.0800000000002,761,2,1,3,213,At Risk,Amit Sharma,Male,18,Delhi,REG-02,2023-02-20,Consumer
CUST-00039,2023-12-05,1,1080.0,510.27,990,1,1,1,111,Lost Customers,Sai Kapoor,Male,19,Vadodara,REG-01,2021-07-04,Consumer
CUST-00040,2023-10-30,1,1241.5,524.47,1026,1,1,1,111,Lost Customers,Rahul Patel,Male,36,Kolkata,REG-04,2021-09-11,Consumer
CUST-00041,2026-07-01,1,652.55,228.10000000000002,51,5,1,1,511,New Customers,Navya Patel,Female,42,Ranchi,REG-04,2024-03-13,Corporate
CUST-00042,2026-06-06,4,10136.3,3718.73,76,5,5,5,555,Champions,Kavya Bose,Other,35,Gurgaon,REG-02,2024-01-09,Corporate
CUST-00043,2025-07-17,3,7070.05,2953.83,400,3,5,5,355,Loyal Customers,Tanvi Verma,Female,32,Mysore,REG-03,2021-02-14,Consumer
CUST-00044,2024-11-29,2,5605.65,2082.6400000000003,630,2,4,4,244,At Risk,Pranav Kumar,Male,30,Cuttack,REG-04,2022-04-07,Consumer
CUST-00045,2025-10-21,1,3721.1,1439.77,304,3,1,4,314,Hibernating,Aanya Singh,Female,18,Nagpur,REG-01,2022-03-09,Consumer
CUST-00046,2024-06-16,1,2509.75,1053.8,796,2,1,2,212,Hibernating,Aarav Sharma,Male,26,Pune,REG-01,2023-08-07,Consumer
CUST-00047,2025-08-11,1,3644.15,1536.29,375,3,1,3,313,Hibernating,Tanvi Kulkarni,Female,28,Patna,REG-04,2022-01-08,Consumer
CUST-00048,2024-07-13,1,508.0,161.96,769,2,1,1,211,Hibernating,Kavya Reddy,Female,45,Gwalior,REG-05,2020-11-02,Consumer
CUST-00049,2026-01-11,1,1629.0,554.52,222,4,1,1,411,New Customers,Priyanka Patel,Female,37,Coimbatore,REG-03,2024-04-25,Consumer
CUST-00050,2025-04-04,1,3033.7,1405.79,504,2,1,3,213,At Risk,Anika Mehta,Female,18,Guwahati,REG-06,2024-06-22,Corporate
CUST-00051,2024-08-17,1,1071.55,477.71,734,2,1,1,211,Hibernating,Aadhya Reddy,Other,37,Lucknow,REG-02,2023-07-08,Consumer
CUST-00052,2026-04-30,1,4209.55,1570.07,113,4,1,4,414,Potential Loyalists,Arjun Malhotra,Male,29,Jabalpur,REG-05,2025-12-29,Consumer
CUST-00053,2024-02-21,1,5928.15,2073.77,912,1,1,5,115,Can't Lose Them,Aanya Verma,Female,26,Coimbatore,REG-03,2022-10-07,Consumer
CUST-00054,2025-10-06,1,4668.3,1575.45,319,3,1,4,314,Hibernating,Rajesh Trivedi,Male,40,Kolkata,REG-04,2021-08-02,Corporate
CUST-00055,2026-06-13,1,1274.5,482.90999999999997,69,5,1,1,511,New Customers,Pari Kumar,Female,45,Ranchi,REG-04,2026-03-11,Consumer
CUST-00056,2026-08-09,3,6846.05,2763.77,12,5,5,5,555,Champions,Meera Deshmukh,Female,44,Mysore,REG-03,2025-02-11,Consumer
CUST-00057,2024-12-05,1,2620.1,723.6800000000001,624,2,1,3,213,At Risk,Myra Reddy,Female,24,Bhubaneswar,REG-04,2022-12-20,Consumer
CUST-00058,2024-01-30,1,2221.0,900.4300000000001,934,1,1,2,112,Lost Customers,Preeti Gupta,Female,30,Lucknow,REG-02,2021-03-29,Consumer
CUST-00059,2022-06-02,1,3148.0,1282.81,1541,1,1,3,113,At Risk,Abhishek Mukherjee,Male,37,Nashik,REG-01,2022-05-31,Consumer
CUST-00060,2026-07-12,4,8700.9,3289.83,40,5,5,5,555,Champions,Manish Gupta,Male,44,Coimbatore,REG-03,2022-09-07,Consumer
CUST-00061,2026-06-18,4,10372.75,4153.61,64,5,5,5,555,Champions,Rahul Verma,Male,28,Noida,REG-02,2025-08-20,Consumer
CUST-00062,2025-09-10,3,6014.75,2604.36,345,3,5,5,355,Loyal Customers,Shaurya Reddy,Male,31,Gwalior,REG-05,2022-03-05,Corporate
CUST-00063,2023-12-30,2,4651.15,1596.69,965,1,4,4,144,Can't Lose Them,Priyanka Trivedi,Female,21,Surat,REG-01,2021-05-21,Consumer
CUST-00064,2026-08-02,2,3357.7,1062.89,19,5,4,3,543,Loyal Customers,Preeti Gupta,Female,20,Visakhapatnam,REG-03,2023-07-19,Consumer
CUST-00065,2026-03-18,2,5840.2,2638.6,156,4,4,4,444,Champions,Karan Reddy,Male,42,Nagpur,REG-01,2022-11-28,Corporate
CUST-00066,2025-08-10,1,1277.0,452.48,376,3,1,1,311,Hibernating,Ananya Shah,Female,48,Bangalore,REG-03,2025-02-06,Small Business
CUST-00067,2025-07-02,1,2179.2,516.88,415,3,1,2,312,Hibernating,Dhruv Choudhury,Male,33,Kolkata,REG-04,2025-03-10,Consumer
CUST-00068,2026-08-07,4,7385.15,2981.83,14,5,5,5,555,Champions,Rajesh Aggarwal,Male,45,Ranchi,REG-04,2025-12-20,Consumer
CUST-00069,2023-03-06,1,3255.2,973.9300000000001,1264,1,1,3,113,At Risk,Saanvi Aggarwal,Female,37,Patna,REG-04,2021-11-26,Consumer
CUST-00070,2025-12-15,2,6008.9,2021.33,249,3,4,5,345,Loyal Customers,Aditya Sharma,Male,26,Coimbatore,REG-03,2022-03-25,Consumer
CUST-00071,2026-03-08,6,11308.05,4498.33,166,4,5,5,455,Champions,Meera Pillai,Female,37,Nashik,REG-01,2025-08-13,Corporate
CUST-00072,2026-06-23,4,6763.75,2431.09,59,5,5,5,555,Champions,Ira Kumar,Female,50,Bhubaneswar,REG-04,2025-08-15,Consumer
CUST-00073,2026-07-19,2,3948.5,1649.3,33,5,4,4,544,Champions,Amit Patel,Male,33,Jaipur,REG-02,2026-05-15,Consumer
CUST-00074,2025-10-06,1,1765.0,729.87,319,3,1,1,311,Hibernating,Krishna Aggarwal,Male,51,Silchar,REG-06,2022-09-27,Corporate
CUST-00075,2026-04-18,1,2651.0,900.2099999999999,125,4,1,3,413,Potential Loyalists,Abhishek Chopra,Male,18,Kolkata,REG-04,2026-03-10,Small Business
CUST-00076,2026-01-16,1,1526.2,561.27,217,4,1,1,411,New Customers,Sunita Verma,Female,43,Panaji,REG-01,2025-08-20,Consumer
CUST-00077,2026-07-19,2,4661.5,1731.76,33,5,4,4,544,Champions,Sai Kapoor,Male,34,Chennai,REG-03,2022-09-17,Consumer
CUST-00078,2026-04-29,1,1629.05,816.86,114,4,1,1,411,New Customers,Rohan Mehta,Male,30,Kochi,REG-03,2022-12-11,Consumer
CUST-00079,2025-07-17,4,7819.7,3371.5,400,3,5,5,355,Loyal Customers,Sneha Malhotra,Female,35,Delhi,REG-02,2021-02-15,Consumer
CUST-00080,2026-06-09,1,2109.5,966.53,73,5,1,2,512,Potential Loyalists,Kabir Bhat,Male,18,Ranchi,REG-04,2026-05-19,Consumer
CUST-00081,2023-06-10,1,2529.55,782.12,1168,1,1,2,112,Lost Customers,Diya Deshmukh,Female,31,Chennai,REG-03,2022-07-12,Corporate
CUST-00082,2025-06-10,3,6409.45,2669.1,437,3,5,5,355,Loyal Customers,Aditya Bose,Male,37,Raipur,REG-05,2021-04-12,Consumer
CUST-00083,2026-04-08,1,2613.55,1256.72,135,4,1,3,413,Potential Loyalists,Suresh Singh,Male,50,Kochi,REG-03,2026-04-03,Small Business
CUST-00084,2026-01-26,1,2149.0,654.18,207,4,1,2,412,Potential Loyalists,Pranav Malhotra,Male,28,Hyderabad,REG-03,2025-09-24,Consumer
CUST-00085,2023-02-27,2,6411.6,2364.8599999999997,1271,1,4,5,145,Can't Lose Them,Amit Sharma,Male,25,Noida,REG-02,2020-08-30,Corporate
CUST-00086,2026-01-07,3,8433.1,3342.45,226,4,5,5,455,Champions,Kabir Kapoor,Male,28,Jaipur,REG-02,2024-01-28,Consumer
CUST-00087,2025-07-22,1,3747.0,1117.46,395,3,1,4,314,Hibernating,Sneha Pandey,Female,44,Visakhapatnam,REG-03,2023-10-29,Consumer
CUST-00088,2026-01-28,1,1840.05,600.49,205,4,1,2,412,Potential Loyalists,Diya Kumar,Female,37,Patna,REG-04,2025-11-05,Consumer
CUST-00089,2026-05-01,3,6429.05,2090.65,112,4,5,5,455,Champions,Karan Verma,Male,28,Vadodara,REG-01,2025-07-12,Small Business
CUST-00090,2025-11-08,4,11704.35,4674.68,286,3,5,5,355,Loyal Customers,Pari Aggarwal,Female,39,Hyderabad,REG-03,2022-05-20,Corporate
CUST-00091,2023-03-18,1,2733.5,1130.17,1252,1,1,3,113,At Risk,Shreya Saxena,Female,35,Surat,REG-01,2021-09-22,Consumer
CUST-00092,2024-09-21,1,2992.1,1391.17,699,2,1,3,213,At Risk,Arjun Deshmukh,Male,44,Gurgaon,REG-02,2022-09-19,Consumer
CUST-00093,2026-07-30,1,1662.5,787.64,22,5,1,1,511,New Customers,Shaurya Joshi,Male,26,Nashik,REG-01,2026-06-21,Small Business
CUST-00094,2025-08-26,1,3660.0,1464.3799999999999,360,3,1,3,313,Hibernating,Aarohi Shah,Female,30,Nashik,REG-01,2022-01-17,Small Business
CUST-00095,2026-06-18,1,2586.0,890.87,64,5,1,3,513,Potential Loyalists,Ananya Sharma,Female,29,Silchar,REG-06,2026-02-08,Consumer
CUST-00096,2026-07-25,6,14945.9,5908.13,27,5,5,5,555,Champions,Riya Trivedi,Female,18,Gurgaon,REG-02,2025-05-16,Consumer
CUST-00097,2025-12-10,1,1951.25,831.0899999999999,254,3,1,2,312,Hibernating,Dhruv Trivedi,Male,37,Pune,REG-01,2023-11-14,Consumer
CUST-00098,2021-07-29,1,3124.5,1239.4499999999998,1849,1,1,3,113,At Risk,Navya Deshmukh,Female,36,Jaipur,REG-02,2021-01-12,Consumer
CUST-00099,2024-02-18,1,1257.05,468.34000000000003,915,1,1,1,111,Lost Customers,Kabir Reddy,Male,34,Asansol,REG-04,2023-07-14,Consumer
CUST-00100,2026-04-02,1,5846.75,2495.7,141,4,1,5,415,Potential Loyalists,Karan Deshmukh,Male,31,Chennai,REG-03,2026-02-26,Consumer
CUST-00101,2025-07-23,2,3779.55,1437.48,394,3,4,4,344,Loyal Customers,Vikram Das,Male,18,Bangalore,REG-03,2024-06-18,Consumer
CUST-00102,2026-07-11,1,1918.7,678.48,41,5,1,2,512,Potential Loyalists,Kavya Joshi,Female,29,Delhi,REG-02,2023-08-10,Consumer
CUST-00103,2026-01-18,1,1707.1499999999999,457.84000000000003,215,4,1,1,411,New Customers,Advaith Mishra,Male,30,Kochi,REG-03,2025-05-25,Corporate
CUST-00104,2025-08-01,1,3642.1,1476.11,385,3,1,3,313,Hibernating,Advaith Iyer,Male,25,Nagpur,REG-01,2025-01-22,Consumer
CUST-00105,2026-08-18,3,6373.3,2103.96,3,5,5,5,555,Champions,Aadhya Singh,Female,32,Nashik,REG-01,2026-04-22,Small Business
CUST-00106,2025-05-23,2,4416.75,1280.72,455,2,4,4,244,At Risk,Rahul Menon,Male,38,Delhi,REG-02,2025-01-03,Consumer
CUST-00107,2026-01-04,1,2295.1,580.77,229,4,1,2,412,Potential Loyalists,Sai Rao,Male,54,Gurgaon,REG-02,2022-08-26,Consumer
CUST-00108,2024-08-03,2,7503.75,2872.4700000000003,748,2,4,5,245,At Risk,Rohan Kulkarni,Male,35,Vadodara,REG-01,2023-10-28,Consumer
CUST-00109,2024-02-08,1,949.0,392.75,925,1,1,1,111,Lost Customers,Navya Sharma,Female,36,Patna,REG-04,2023-05-12,Consumer
CUST-00110,2025-02-17,1,2798.55,1056.12,550,2,1,3,213,At Risk,Deepika Kulkarni,Female,33,Vadodara,REG-01,2025-02-03,Consumer
CUST-00111,2026-03-18,3,7713.75,2668.7,156,4,5,5,455,Champions,Deepika Reddy,Female,18,Vadodara,REG-01,2025-12-11,Small Business
CUST-00112,2026-01-14,3,6978.65,2238.44,219,4,5,5,455,Champions,Manish Joshi,Male,33,Trivandrum,REG-03,2023-04-23,Consumer
CUST-00113,2025-05-19,1,3313.0,1217.73,459,2,1,3,213,At Risk,Suresh Pandey,Male,34,Mumbai,REG-01,2023-04-30,Consumer
CUST-00114,2026-07-17,2,3720.35,1477.36,35,5,4,4,544,Champions,Shaurya Deshmukh,Male,61,Indore,REG-05,2024-06-03,Consumer
CUST-00115,2022-07-04,2,3118.05,1350.26,1509,1,4,3,143,Can't Lose Them,Pranav Kapoor,Male,31,Raipur,REG-05,2020-12-17,Consumer
CUST-00116,2024-03-27,5,11556.0,4366.04,877,1,5,5,155,Can't Lose Them,Swati Patel,Female,37,Hyderabad,REG-03,2021-06-23,Consumer
CUST-00117,2023-11-30,1,1638.05,658.21,995,1,1,1,111,Lost Customers,Shaurya Mishra,Male,33,Chandigarh,REG-02,2023-06-17,Consumer
CUST-00118,2021-11-16,1,1414.0,501.03000000000003,1739,1,1,1,111,Lost Customers,Aarohi Rao,Female,21,Hyderabad,REG-03,2020-07-23,Consumer
CUST-00119,2023-10-23,1,2418.95,483.5,1033,1,1,2,112,Lost Customers,Nikhil Kulkarni,Male,46,Gurgaon,REG-02,2021-07-25,Consumer
CUST-00120,2026-08-15,2,6922.4,2800.39,6,5,4,5,545,Champions,Gaurav Gupta,Male,42,Cuttack,REG-04,2026-04-24,Corporate
CUST-00121,2026-06-09,1,2716.25,1017.22,73,5,1,3,513,Potential Loyalists,Anushka Menon,Female,42,Ranchi,REG-04,2025-07-31,Small Business
CUST-00122,2025-09-04,1,2149.05,804.8800000000001,351,3,1,2,312,Hibernating,Arjun Shah,Male,23,Panaji,REG-01,2023-11-29,Consumer
CUST-00123,2026-04-02,3,8750.85,3149.5,141,4,5,5,455,Champions,Advaith Trivedi,Male,49,Silchar,REG-06,2024-04-02,Consumer
CUST-00124,2023-12-03,1,3586.2,1312.47,992,1,1,3,113,At Risk,Manish Pandey,Male,18,Ahmedabad,REG-01,2022-01-05,Consumer
CUST-00125,2026-05-11,2,5414.3,1740.6299999999999,102,4,4,4,444,Champions,Reyansh Singh,Male,40,Imphal,REG-06,2021-09-01,Consumer
CUST-00126,2025-11-07,1,1947.55,805.62,287,3,1,2,312,Hibernating,Tanvi Mukherjee,Female,58,Pune,REG-01,2020-10-13,Corporate
CUST-00127,2021-11-26,1,2329.3,846.53,1729,1,1,2,112,Lost Customers,Vivaan Kulkarni,Male,23,Vadodara,REG-01,2020-11-25,Consumer
CUST-00128,2024-06-10,1,1788.0,646.1899999999999,802,2,1,2,212,Hibernating,Tanvi Mehta,Female,27,Cuttack,REG-04,2022-09-20,Consumer
CUST-00129,2025-10-19,1,3147.65,1308.28,306,3,1,3,313,Hibernating,Anand Joshi,Male,35,Ahmedabad,REG-01,2023-07-12,Small Business
CUST-00130,2026-05-25,3,8223.7,3354.69,88,4,5,5,455,Champions,Sai Mishra,Male,28,Kochi,REG-03,2026-01-29,Consumer
CUST-00131,2025-02-25,1,3772.5,1805.3600000000001,542,2,1,4,214,At Risk,Rahul Menon,Male,18,Surat,REG-01,2022-07-25,Small Business
CUST-00132,2024-12-12,1,3079.0,1054.75,617,2,1,3,213,At Risk,Nikhil Rao,Male,34,Pune,REG-01,2022-10-25,Small Business
CUST-00133,2026-08-19,1,2745.5,1006.11,2,5,1,3,513,Potential Loyalists,Riya Joshi,Female,22,Patna,REG-04,2025-05-06,Consumer
CUST-00134,2026-01-07,1,2531.1,632.32,226,4,1,2,412,Potential Loyalists,Gaurav Joshi,Male,39,Imphal,REG-06,2022-10-26,Consumer
CUST-00135,2026-07-04,1,3231.25,1117.12,48,5,1,3,513,Potential Loyalists,Nikhil Chopra,Male,23,Pune,REG-01,2026-03-30,Consumer
CUST-00136,2024-08-10,1,1216.55,552.86,741,2,1,1,211,Hibernating,Anushka Iyer,Female,51,Bangalore,REG-03,2021-05-03,Consumer
CUST-00137,2025-07-20,2,2665.65,1177.71,397,3,4,3,343,Loyal Customers,Ishaan Deshmukh,Male,25,Coimbatore,REG-03,2025-05-24,Consumer
CUST-00138,2026-08-02,2,5545.1,2165.48,19,5,4,4,544,Champions,Karan Mukherjee,Male,30,Pune,REG-01,2025-10-01,Small Business
CUST-00139,2026-05-21,1,3079.1,780.86,92,4,1,3,413,Potential Loyalists,Aarav Malhotra,Male,42,Chennai,REG-03,2024-11-10,Consumer
CUST-00140,2025-01-26,2,4319.3,1437.1,572,2,4,4,244,At Risk,Aadhya Mehta,Female,20,Nagpur,REG-01,2021-07-22,Corporate
CUST-00141,2026-08-11,1,2270.55,1046.55,10,5,1,2,512,Potential Loyalists,Pari Patel,Female,36,Lucknow,REG-02,2024-03-19,Consumer
CUST-00142,2026-05-01,1,3358.65,958.9100000000001,112,4,1,3,413,Potential Loyalists,Ira Mehta,Female,48,Nagpur,REG-01,2026-01-05,Consumer
CUST-00143,2026-06-15,1,2007.0,867.25,67,5,1,2,512,Potential Loyalists,Neha Pillai,Female,18,Kanpur,REG-02,2024-05-29,Consumer
CUST-00144,2025-12-26,2,5133.1,1845.71,238,3,4,4,344,Loyal Customers,Ira Kulkarni,Female,36,Hyderabad,REG-03,2025-07-07,Consumer
CUST-00145,2026-02-19,1,2917.0,1389.24,183,4,1,3,413,Potential Loyalists,Dhruv Reddy,Male,36,Hyderabad,REG-03,2020-09-30,Consumer
CUST-00146,2025-04-25,1,2039.0,864.42,483,2,1,2,212,Hibernating,Aditya Kulkarni,Male,42,Hyderabad,REG-03,2024-09-15,Consumer
CUST-00147,2026-07-13,1,1398.15,315.4,39,5,1,1,511,New Customers,Ishaan Das,Male,20,Chennai,REG-03,2026-03-31,Corporate
CUST-00148,2026-05-31,1,3130.0,1519.43,82,5,1,3,513,Potential Loyalists,Anika Iyer,Female,19,Visakhapatnam,REG-03,2026-01-28,Consumer
CUST-00149,2025-07-04,2,4778.6,1858.56,413,3,4,4,344,Loyal Customers,Karan Rao,Male,39,Bangalore,REG-03,2025-03-29,Corporate
CUST-00150,2026-01-26,3,4944.25,2061.55,207,4,5,4,454,Champions,Advaith Chopra,Male,37,Jabalpur,REG-05,2025-07-27,Consumer
CUST-00151,2026-05-30,2,6970.3,2516.4,83,5,4,5,545,Champions,Anand Mishra,Male,36,Howrah,REG-04,2022-04-04,Consumer
CUST-00152,2026-04-15,2,8096.799999999999,2718.42,128,4,4,5,445,Champions,Suresh Bose,Male,37,Chennai,REG-03,2025-12-01,Consumer
CUST-00153,2026-06-19,1,3197.2,1373.02,63,5,1,3,513,Potential Loyalists,Neha Kulkarni,Female,26,Gurgaon,REG-02,2026-02-05,Consumer
CUST-00154,2024-11-18,1,2730.1,1042.18,641,2,1,3,213,At Risk,Rahul Bose,Male,36,Mysore,REG-03,2023-08-10,Consumer
CUST-00155,2025-12-17,1,1850.15,647.75,247,3,1,2,312,Hibernating,Vivaan Singh,Male,37,Raipur,REG-05,2020-09-19,Corporate
CUST-00156,2025-09-14,1,2066.65,1106.66,341,3,1,2,312,Hibernating,Ira Mehta,Female,26,Jaipur,REG-02,2025-01-13,Consumer
CUST-00157,2024-06-04,1,1494.0,440.78000000000003,808,2,1,1,211,Hibernating,Navya Reddy,Female,54,Chennai,REG-03,2021-02-24,Corporate
CUST-00158,2026-08-08,2,4989.8,2091.49,13,5,4,4,544,Champions,Sai Sharma,Male,39,Bangalore,REG-03,2025-08-01,Consumer
CUST-00159,2026-05-14,2,2119.5,972.28,99,4,4,2,442,Potential Loyalists,Kabir Trivedi,Male,20,Delhi,REG-02,2025-09-06,Consumer
CUST-00160,2026-03-09,1,4441.6,1582.41,165,4,1,4,414,Potential Loyalists,Nikhil Pillai,Other,41,Noida,REG-02,2025-11-22,Consumer
CUST-00161,2024-08-16,1,1299.0,731.94,735,2,1,1,211,Hibernating,Myra Kulkarni,Female,23,Mysore,REG-03,2022-04-14,Consumer
CUST-00162,2026-07-14,1,3082.1,995.35,38,5,1,3,513,Potential Loyalists,Pranav Gupta,Male,42,Chennai,REG-03,2026-06-04,Consumer
CUST-00163,2025-10-13,1,5318.35,1957.13,312,3,1,4,314,Hibernating,Ishaan Pillai,Male,46,Lucknow,REG-02,2021-06-12,Consumer
CUST-00164,2025-07-11,1,3161.65,1299.14,406,3,1,3,313,Hibernating,Neha Chopra,Female,24,Ludhiana,REG-02,2025-03-16,Consumer
CUST-00165,2026-02-24,1,1848.15,762.8299999999999,178,4,1,2,412,Potential Loyalists,Deepika Pandey,Female,44,Chandigarh,REG-02,2025-04-09,Consumer
CUST-00166,2026-08-19,1,2125.5,770.4300000000001,2,5,1,2,512,Potential Loyalists,Pranav Bose,Male,38,Nashik,REG-01,2026-07-22,Consumer
CUST-00167,2026-01-19,1,3296.0,1193.96,214,4,1,3,413,Potential Loyalists,Suresh Bhat,Male,43,Gwalior,REG-05,2026-01-05,Consumer
CUST-00168,2026-06-26,1,2448.0,989.74,56,5,1,2,512,Potential Loyalists,Meera Deshmukh,Female,54,Kanpur,REG-02,2021-02-01,Consumer
CUST-00169,2025-11-26,1,3999.6,1402.76,268,3,1,4,314,Hibernating,Arjun Reddy,Male,31,Vadodara,REG-01,2025-04-19,Consumer
CUST-00170,2025-04-09,2,8202.6,3008.41,499,2,4,5,245,At Risk,Swati Patel,Female,25,Trivandrum,REG-03,2023-05-30,Corporate
CUST-00171,2025-01-11,1,1319.0,508.12,587,2,1,1,211,Hibernating,Angel Malhotra,Female,24,Trivandrum,REG-03,2023-02-02,Consumer
CUST-00172,2026-03-22,1,2173.0,994.1,152,4,1,2,412,Potential Loyalists,Ayaan Saxena,Male,25,Ranchi,REG-04,2025-11-10,Consumer
CUST-00173,2025-12-02,3,3594.65,1703.1100000000001,262,3,5,3,353,Loyal Customers,Amit Trivedi,Male,33,Ahmedabad,REG-01,2023-06-23,Consumer
